,subj,rel,obj,text
4246,an ISIS member,smuggle,a Canada's spy agency operative,"""</Text></Article><Article url=""https://www.cbc.ca/news/politics/review-csis-sources-smuggling-1.6662129?cmp=rss"" paper=""cbc""><Text>An independent government agency is a review of the case how Canada's spy agency handles human sources after Prime Minister Justin Trudeau promised in August to follow up on claims that an ISIS member who was also working as a Canada's spy agency operative smuggled three British teenagers into Syria in 2015."
4247,an ISIS member,smuggle,a Canada's spy agency operative,"""</Text></Article><Article url=""https://www.cbc.ca/news/politics/review-csis-sources-smuggling-1.6662129?cmp=rss"" paper=""cbc""><Text>An independent government agency is a review of the case how Canada's spy agency handles human sources after Prime Minister Justin Trudeau promised in August to follow up on claims that an ISIS member who was also working as a Canada's spy agency operative smuggled three British teenagers into Syria in 2015."
4248,a CSIS operative,work,ISIS,U. K. -based writer Richard Kerbaj's book The Secret History of the Five Eyes claims an ISIS member who was also working as a CSIS operative was working for ISIS and wanted to start a new life in Canada's so an ISIS member who was also working as a CSIS operative applied for political asylum in Canada's.
4249,Shamima Begum,regain,U. K.,Shamima Begum is trying to regain U. K.  citizenshipThe review is taking place as Shamima Begum's appeal of former U. K.  home secretary Sajid Javid's decision to revoke Shamima Begum's citizenship plays out in hearings in Britain this week — putting the spotlight back on Canada's spy agency's alleged involvement in the case.
4250,U. K. -based writer Richard Kerbaj's claims agency informant,smuggle,Syria,Prime Minister Justin Trudeau defends Canada's spy agency after U. K. -based writer Richard Kerbaj's claims agency informant smuggled girls into Syria BurnerU.
4251,Documentaries)Maya Foa,know,Documentaries)Maya Foa's conversations,"""Documentaries)Maya Foa know from Documentaries)Maya Foa's conversations with Shamima Begum that Shamima Begum wishes Shamima Begum's school and others had behaved differently around that time,"" Documentaries)Maya Foa said."
4252,the Metropolitan Police,reinstate,The Associated Press)She,(the Metropolitan Police in London/The Associated Press)She's now calling on the U. K.  to reinstate Shamima Begum's citizenship and said Canada's must launch a public inquiry into Canada's spy agency's handling of the case.
4253,Canada's spy agency,exist,Canada's spy agency,"After Mukbil, who worked for CSIS for 15 years, including a stint as a CSIS agent in the U. K.  from 2005 to 2006 took part in a discrimination lawsuit, Canada's spy agency admitted in 2020 that systemic racism existed at Canada's spy agency."
4254,Shamima Begum,have,Shamima Begum,"allegationsBaker, an investigative journalist at the BBC, said Shamima Begum told allegationsBaker, an investigative journalist at the BBC, Shamima Begum had no idea that the man who smuggled Shamima Begum from Turkey to Syria in 2015 was an asset for Canadian intelligence and that without the man who smuggled her from Turkey to Syria in 2015 Shamima Begum would have struggled to get into Syria."
4255,Shamima Begum,smuggle,Syria,"allegationsBaker, an investigative journalist at the BBC, said Shamima Begum told allegationsBaker, an investigative journalist at the BBC, Shamima Begum had no idea that the man who smuggled Shamima Begum from Turkey to Syria in 2015 was an asset for Canadian intelligence and that without the man who smuggled her from Turkey to Syria in 2015 Shamima Begum would have struggled to get into Syria."
4256,Canada's spy agency,know,an ISIS member,"Two Canada's spy agency handlers at the embassy in Turkey were dealing with an ISIS member who was also working as a CSIS operative, but it's ""difficult to know"" if Canada's spy agency knew an ISIS member who was also working as a CSIS operative was going to transport three British teenagers to Syria, said allegationsBaker, an investigative journalist at the BBC,."
4257,Javier Maluf,have,a blood-stained Argentina's shirt,"Javier Maluf, also has a blood-stained Argentina's shirt worn by Mario Kempes in a 1978 the World Cup game against France."
4258,the Argentina,fiste,the England net,The ball that the Argentina forward fisted into the England net sold this month for £2 million (US$2.
4259,Argentina's's first game,be,Diego Maradona masks,"At Argentina's's first game – a shock 2-1 defeat by Saudi Arabia – there were Diego Maradona masks, banners and shirts on display in the Khalifa stadium in Doha."
4260,Scaloni,wear,Scaloni,"Read more. . . Scaloni grapples with selection dilemmas for Mexico clash ""Scaloni will be wearing a Diego Maradona shirt because you have to believe in something,"" Scaloni said of the looming anniversary and game."
4261,Diego MaradonaLionel Messitopics,cupargentinafanssupportersdiegoel,"DiezMaradonaAnniversaryMystical Force </Text></Article><Article url=""https://timesofindia.indiatimes.com/world/europe/russian-attacks-create-real-danger","In this newspersonalities:Diego MaradonaLionel Messitopics:SportFootballQatar 2022World CupArgentinaFansSupportersDiegoEl DiezMaradonaAnniversaryMystical Force </Text></Article><Article url=""https://timesofindia.indiatimes.com/world/europe/russian-attacks-create-real-danger-of-catastrophe-ukraine-nuclear-energy-boss/articleshow/95740220.cms"" paper=""it""><Text>KYIV: Russia caused a ""real danger of a nuclear and radioactive catastrophe"" by launching attacks in which all Ukraine's nuclear reactors were disconnected from the power grid for the first time in 40 years, Ukraine's's nuclear energy chief said."
4262,Ukraine's nuclear energy chief,reconnecte,Russian air strikes,"Ukraine's nuclear energy chief said in a statement on Thursday the vast nuclear power plant in the Zaporizhzhia region had been reconnected to the national power grid after Russian air strikes on Wednesday, and that the backup diesel generators at the vast nuclear power plant in the Zaporizhzhia region had been turned off."
4263,Seoul's unification ministry's system,shake,South Korea,Seoul's unification ministry said in a statement that Seoul's unification ministry strongly condemns what Seoul's unification ministry called “The powerful sister of North Korean leader Kim Jong Un's impure attempt to incite anti-government struggles and shake Seoul's unification ministry's system” in South Korea.
4264,The Ukrainian sniper,adjust,The Ukrainian sniper's scope,KHERSON: The Ukrainian sniper adjusted The Ukrainian sniper's scope and fired a. 50-caliber bullet at a Russian soldier across the Dnieper River.
4265,another Ukrainian,scan,Russian troops,"Earlier, another Ukrainian used a drone to scan for Russian troops."
4266,Ukrainian officers,capitalize,Ukrainian officers's momentum,"Ukraine is striking back at Russian troops with Ukraine's own long-distance weapons, and Ukrainian officers say Ukrainian officers want to capitalize on Ukrainian officers's momentum."
4267,Pakistan Prime Minister Shehbaz Sharif,choose,Lt Gen Asim Munir,""" </Text></Article><Article url=""https://timesofindia.indiatimes.com/world/pakistan/pakistans-pm-names-asim-munir-as-new-army-chief-information-minister/articleshow/95733416.cms"" paper=""it""><Text>ISLAMABAD: Pakistan Prime Minister Shehbaz Sharif on Thursday chose Lt Gen Asim Munir as the new Army chief (COAS) to replace incumbent General Qamar Javed Bajwa."
4268,Malaysia’s king,have,Anwar’s appointment reformist leader Anwar Ibrahim,"nan</Text></Article><Article url=""https://www.egyptindependent.com/sokhna-port-gears-up-to-receive-worlds-fantasia-class-cruise-ship/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/health-ministry-centers-of-genetic-diseases-in-newborns-up-to-42/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/sisi-approves-776-9-million-euro-worth-loan-agreement-with-france/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/match-schedule-for-the-fifa-world-cup-qatar-2022-on-thursday/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/abdel-latif-el-menawy-elected-as-member-of-emmy-awards-academy/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/biden-administration-condemns-russian-strikes-on-ukraines-power-infrastructure/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/we-cant-continue-counting-on-good-luck-to-avoid-nuclear-accident-at-zaporizhzhia-iaea-director-says/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/ukrainian-president-zelensky-urges-unsc-to-support-peace-formula-following-missile-strikes/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.egyptindependent.com/macron-denounces-russian-airstrikes-as-war-crimes/"" paper=""independent""><Text>nan</Text></Article><Article url=""https://www.smh.com.au/world/asia/malaysian-king-names-anwar-ibrahim-as-prime-minister-ending-deadlock-20221124-p5c147.html?ref=rss&amp;utm_medium=rss&amp;utm_source=rss_world"" paper=""smh""><Text>Kuala Lumpur: Malaysia’s king has Anwar’s appointment reformist leader Anwar Ibrahim as prime minister, ending days of uncertainties after divisive general elections produced a hung parliament."
4269,Malaysia’s king,swear,reformist leader Anwar Ibrahim,Credit:Malaysia’s king said reformist leader Anwar Ibrahim would be sworn in later on Thursday.
4270,Kseniya Mikhailova,be,Reuters news agency,"Kseniya Mikhailova of the Russia-based LGBT support group Vykhod (a play on words to mean ""coming out"") told Reuters news agency that there would now be a ""tsunami"" of aggression because the latest version of the law in effect ""says Russia's is not against violence towards LGBT people""."
4271,Slovak media,-,Frantisek Imrecze,"Slovak media said Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police feared for Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police's life."
4272,Slovak media,operate,Frantisek Imrecze,"Slovak media said Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police feared for Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police's life."
4273,Slovak media,fear,Frantisek Imrecze,"Slovak media said Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police feared for Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police's life."
4274,Slovak media,fear,Frantisek Imrecze,"Slovak media said Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police feared for Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police's life."
4275,Slovak media,operate,Frantisek Imrecze,"Slovak media said Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police feared for Frantisek Imrecze, a former head of the tax administration who is being prosecuted in several cases and is co-operating with the police's life."
4276,40-year-old Adenot,be,FRANCE,"So the idea is to become an ambassador, yes of course, but not a star,"" 40-year-old Adenot told FRANCE 24's James André. """
4277,Germany's Merkel,be,the Spiegel news magazine,"Referring to Germany's Merkel's farewell visit to Moscow in August 2021, Germany's Merkel told the Spiegel news magazine: ""The feeling was very clear: 'In terms of power politics, you're through. '"
4278,Germany's Merkel,be,the Spiegel news magazine,"Referring to Germany's Merkel's farewell visit to Moscow in August 2021, Germany's Merkel told the Spiegel news magazine: ""The feeling was very clear: 'In terms of power politics, you're through. '"
4279,Petro Kotin,reconnecte,Russian air strikes,"Petro Kotin, head of nuclear power company Energoatom, said in a statement Thursday that the vast nuclear power plant in the Zaporizhzhia region had been reconnected to the national power grid after Russian air strikes on Wednesday's, and that the backup diesel generators at the vast nuclear power plant in the Zaporizhzhia region had been turned off."
4280,an apparently stray Ukrainian defense projectile,fall,Poland,Germany said earlier this week that Germany offered Warsaw Eurofighter planes and Patriot defense systems to help defend Poland airspace after two men were killed when an apparently stray Ukrainian defense projectile fell in Poland near the border with Ukraine.
4281,Ukraine's energy ministry,reconnecte,all Ukraine's nuclear reactors,"10:12am: Ukraine nuclear plants reconnected to grid after strikes, says energy ministryAll all Ukraine's nuclear reactors have been reconnected to the electricity grid, Ukraine's energy ministry said Thursday, after Russian strikes a day earlier forced all Ukraine's nuclear reactors to automatically disconnect."
4282,Russian missile strikes,be,Kyiv's biggest outages,"9:42am: Most Kyiv residents without power, heating, water supplyMore than two thirds of Kyiv is still without power Thursday morning with residents struggling without electricity, heating and running water, a day after Russian missile strikes caused Kyiv's biggest outages in nine months of war."
4283,© Vincent Thian,sack,then-premier Mahathir Mohamad,"© Vincent Thian, then-premier Mahathir Mohamad sacked Anwar, who was also expelled from the United Malays National Organisation (UMNO), the party then in the middle of its 60-year domination of Malaysian politics and charged with corruption and sodomy."
4284,38-year-old Djamel Ben Ismail,turn,38-year-old Djamel Ben Ismail,Onlookers had beaten 38-year-old Djamel Ben Ismail to death after 38-year-old Djamel Ben Ismail turned 38-year-old Djamel Ben Ismail in at a police station in the Tizi Ouzou region.
4285,Observers Al Sharq,document,a controversial Indian televangelist,"© Observers Al Sharq, a Qatari media outlet that supports the government, also documented a controversial Indian televangelist named Dr Zakir Naik, who is accused of money laundering and has publicly stated his support for Osama bin Laden conference in an article published in May 2016."
4286,the Zaporozhye nuclear power plant,have,the Zaporozhye nuclear power plant's own power supply systems,"""It is clear that the Zaporozhye nuclear power plant has the Zaporozhye nuclear power plant's own power supply systems."
4287,Serbia’s President Aleksandar Vucic,focus,the European Parliament,"Serbia’s President Aleksandar Vucic has advised the European Parliament to focus on high inflation and energy problems, rather than resolutions against Russia."
4288,Serbia’s President Aleksandar Vucic,pat,Serbia,"Should Serbia’s introduce sanctions against Russia, Serbia’s would be approvingly patted on the back, but the next day the European Parliament would put forward another resolution emphasizing the need to recognize Kosovo,"" Serbia’s President Aleksandar Vucic said."
4289,Malaysia's current monarch,swear,Anwar Ibrahim,Malaysia's current monarch swore in Anwar Ibrahim as PM on Thursday.
4290,then-prime minister Najib Razak,prove,then-prime minister Najib Razak's mettle,"(Vincent Thian/The Associated Press)""I have forgiven then-prime minister Najib Razak, then-prime minister Najib Razak has proved then-prime minister Najib Razak's mettle."
4291,Seth Stoughton,have,AP,"While a thrown knife can pose a threat, ""officers have plenty of opportunity to manouevre officers and put officers in a position that's not risky,"" Seth Stoughton, a former police officer and leading use-of-force expert who reviewed portions of the footage told AP in September."
4292,Andy Wong personnel,wear,Andy Wong,(Andy Wong personnel wear masks as Andy Wong/The Associated Press)Security personnel stand outside a luxury department store that remained open in Beijing in the north's central business district.
4293,Diego Maradona's Argentina,play,Diego Maradona's Argentina's second and third matches,"In Diego Maradona's Argentina's second and third matches of Italia ’90, Diego Maradona's Argentina played at the San Paolo stadium in Naples, Diego Maradona's's home stadium."
4294,Diego Maradona's Argentina,lose,Diego Maradona's Argentina's the World Cup,"Diego Maradona's Argentina again lost Diego Maradona's Argentina's the World Cup in Italy 1990 debut in Sweden in 1958, in that case, 3-1 to the Federal Republic of Germany."
4295,Diego Maradona's Argentina,lose,Diego Maradona's Argentina's the World Cup,"Diego Maradona's Argentina again lost Diego Maradona's Argentina's the World Cup in Italy 1990 debut in Sweden in 1958, in that case, 3-1 to the Federal Republic of Germany."
4296,Diego Maradona's Argentina,bounce,Diego Maradona's Argentina's second clash,"In Diego Maradona's Argentina's second clash, Diego Maradona's Argentina bounced back to defeat Northern Ireland 3-1, but were then eliminated, finishing bottom of Diego Maradona's Argentina's group after being overwhelmed 6-1 by Czechoslovakia, who, despite the victory, also failed to advance."
4297,Spain,lose,Spain's opening match,"Diego Maradona's Argentina fans looking for more lucky omens should also remember that in 2010 in South Africa, Spain lost Spain's opening match 1-0 to Switzerland."
4298,Spain,lose,Spain's opening match,"Diego Maradona's Argentina fans looking for more lucky omens should also remember that in 2010 in South Africa, Spain lost Spain's opening match 1-0 to Switzerland."
4299,Buenos Aires City Health Minister Fernán Quirós,reflect,Buenos Aires City Health Minister Fernán Quirós's decision,"""Buenos Aires City Health Minister Fernán Quirós have made the decision to prepare Buenos Aires City Health Minister Fernán Quirós to be able to compete,” said Quirós, who said Buenos Aires City Health Minister Fernán Quirós had ""been deeply reflecting” on Buenos Aires City Health Minister Fernán Quirós's decision to run."
4300,Buenos Aires City Health Minister Fernán Quirós,have,incumbent City Mayor Horacio Rodríguez Larreta,"Read more. . . the nation’s now has more infighting within parties than between allies ""Buenos Aires City Health Minister Fernán Quirós have a very strong commitment and a very positive evaluation of the management of City] government, with incumbent City Mayor Horacio Rodríguez Larreta at the head,"" said Buenos Aires City Health Minister Fernán Quirós."
4301,Buenos Aires City Health Minister Fernán Quirós,have,journalist Jorge Fontevecchia,"We have societies that, after the Covid-19 pandemic, because of economic, social and political difficulties, are in a state of great pain and dissatisfaction,” Buenos Aires City Health Minister Fernán Quirós told journalist Jorge Fontevecchia."
4302,Ecuadorean hate crimes prosecutor,list,the United States,"Read more. . . Ecuadorean hate crimes prosecutor murdered In September, the United States listed Ecuador among the top 22 drug-producing or transit countries in the world."
4303,Chris Dalby,be,tank Insight Crime,"History with Colombian guerrillas  Ecuador is ""a natural exit point for Colombian cocaine,"" Chris Dalby, an investigator with organised crime think tank Insight Crime told AFP."
4304,Chris Dalby,boom,Colombia,"Cocaine production has boomed in Colombia, where dissident the Marxist Revolutionary Armed Forces of Colombia (FARC) guerrillas rebels who did not lay down arms have started to produce cocaine in the south and move cocaine into Ecuador by ""river or by road"" dissident FARC rebels who did not lay down arms, said Chris Dalby, an investigator with organised crime think tank Insight Crime."
4305,Mexico's powerful Sinaloa,operate,Ecuador,Mexico's powerful Sinaloa and Jalisco New Generation cartels also operate in Ecuador.
4306,Mathew Charles,be,AFP,"Mathew Charles, who authored the the Colombian Observatory of Organized Crime (OCCO) study, told AFP there had been a ""fragmentation"" of the drug business between buyers and sellers."
4307,the US,treat,Pakistan,"When asked by Public Broadcasting Service, an American public broadcaster, about Former premier Imran Khan's recent U-turn and Former premier Imran Khan's past remarks that the US treats Pakistan ""like a slave,"" Former premier Imran Khan said: ""Firstly, Former premier Imran Khan mean, it is just a fact that the Pakistan-the US relationship has been lopsided. """
4308,Former premier Imran Khan,have,Former premier Imran Khan,"And, yes, Former premier Imran Khan have Former premier Imran Khan's right to criticise,"" Former premier Imran Khan added."
4309,Long-time opposition leader Anwar Ibrahim,swear,Malaysia's prime minister,KUALA LUMPUR: Long-time opposition leader Anwar Ibrahim was sworn in as Malaysia's prime minister Thursday in a victory for political reformers who were locked in a battle with Malay nationalists for days after a divisive general election produced a hung Parliament.
4310,Malaysia's king,be,Long-time opposition leader Anwar Ibrahim,"Malaysia's king, Sultan Abdullah Sultan Ahmad Shah, urged Long-time opposition leader Anwar Ibrahim and Long-time opposition leader Anwar Ibrahim's new government to be humble and said all opposing parties should reconcile to ensure a stable government and end Malaysia's's political turmoil, which has led to three prime ministers since 2018 polls."
4311,Long-time opposition leader Anwar Ibrahim,rise,Long-time opposition leader Anwar Ibrahim's roller-coaster political journey,Long-time opposition leader Anwar Ibrahim rise to the top caps Long-time opposition leader Anwar Ibrahim's roller-coaster political journey and will ease fears over greater Islamization.
4312,Many rural Malays,lose,Many rural Malays,Many rural Malays fear Many rural Malays may lose Many rural Malays's privileges with greater pluralism under Long-time opposition leader Anwar Ibrahim.
4313,Najd Al-Mohanadi,think,Najd Al-Mohanadi,"“Najd Al-Mohanadi, a 20-year-old Qatari, think that the Western media is biased because the Western media don’t want to see an Arabic success, a Muslim success in the delivering and hosting of a global cup for football in a third [world country],” Najd Al-Mohanadi, a 20-year-old Qatari, told CNN."
4314,Al Hussein,be,CNN,"“Scrutiny is overdue and it makes no sense to tie Scrutiny to global events where virtue-signaling becomes deeply problematic,” Al Hussein told CNN."
4315,Maryam AlHajri,neglect,Qatar’s human rights shortcomings,"Maryam AlHajri, a Qatari researcher at the Doha Institute for Graduate Studies noted however that some over-zealous defenders of the government on the Qatari side have neglected Qatar’s human rights shortcomings."
4316,This UGC image,post,Twitter,"This UGC image posted on Twitter reportedly on 26 October 2022 shows an unveiled woman standing on top of a vehicle as thousands make thousands's way towards Aichi cemetery in Saqez, Mahsa Amini's home town in the western Iranian province of Kurdistan, to mark 40 days since Mahsa Amini's's death, defying heightened security measures as part of deadly Iran crackdown."
4317,Tonya,have,BBC Ukrainian,"Tonya, another Kyivan, told BBC Ukrainian late on Thursday evening that she had not had electricity for 48 hours."
4318,Ukrainian Deputy Prime Minister Iryna Vereshchuk,be,BBC Ukrainian's World Tonight programme,"Meanwhile, Ukrainian Deputy Prime Minister Iryna Vereshchuk told BBC Ukrainian's World Tonight programme: ""Russia has started an energy war against us, Russia's aim is to create a massive humanitarian crisis."
4319,the Adult Survivors Act,model,the US state,"the Adult Survivors Act, which came into effect on Thursday is modelled after the US state of New York's recent Child Abuse Act, which applied to victims who were abused as minors."
4320,Alina Habba,be,US media,"Alina Habba, a lawyer for Donald Trump, told US media that, while Alina Habba, a lawyer for Mr Trump, respects and admires individuals that come forward ""that case is unfortunately an abuse of the purpose of the Adult Survivors Act, which came into effect on Thursday"" and ""runs the risk of delegitimising the credibility of actual victims""."
4321,rapper Kanye West,work,Adidas,"Adidas has launched an investigation into reports that rapper Kanye West created a ""toxic environment"" when rapper Kanye West was working with Adidas."
4322,rapper Kanye West,post,anti-Semitic comments,"West, who was dropped by Adidas last month after rapper Kanye West posted anti-Semitic comments online, has not responded to the Rolling Stone story."
4323,UN human rights chief Volker Turk,pain,UN human rights chief Volker Turk,"UN human rights chief Volker Turk said it had pained UN human rights chief Volker Turk to see what was happening in Iran, recalling ""the images of children killed, of women beaten in the streets, of people sentenced to death""."
4324,Ukrainian first lady Olena Zelenska,endure,Ukraine,"Ukrainian first lady Olena Zelenska tells the BBC that Ukraine will endure this coming winter despite the cold and the blackouts caused by Russian missiles, and will keep fighting what Ukrainian first lady Olena Zelenska describes as a war of world views, because ""without victory there can be no peace""."
4325,Ukrainian first lady Olena Zelenska,live,Ukrainian first lady Olena Zelenska,"Ukrainian first lady Olena Zelenska live separately with Ukrainian first lady Olena Zelenska's children and Ukrainian first lady Olena Zelenska's husband lives at work,"" Ukrainian first lady Olena Zelenska explains.  """
4326,Russia missiles,whistle,Kyiv,"After Russia missiles started whistling into Kyiv in the early hours of 24 February, Ukrainian first lady Olena Zelenska spent months in hiding in secret locations with Ukrainian first lady Olena Zelenska's children."
4327,Russian clubs,suspend,the Kremlin's invasion,"Following the Kremlin's invasion of Ukraine, football's governing bodies Fifa and Uefa suspended Russian clubs - and the national team - from all competitions."
4328,Messi,be,Messi,"Messi and Ronaldo are special cases: like everywhere else in the world, Messi and Ronaldo have Messi and Ronaldo's own personal supporters here."
4329,Messi,have,Messi,"Messi and Ronaldo are special cases: like everywhere else in the world, Messi and Ronaldo have Messi and Ronaldo's own personal supporters here."
4330,The Paris Saint-Germain star,collide,Nikola Milenkovic,"Download the France 24 app</Text></Article><Article url=""https://www.france24.com/en/middle-east/20221124-brazil-s-neymar-suffers-ankle-sprain-to-be-examined-in-next-48-hours"" paper=""f24""><Text>AdvertisingRead more2022 FIFA World Cup © FMM graphics studio The Paris Saint-Germain star suffered the injury in the 2-0 victory against Serbia on Thursday when The Paris Saint-Germain star collided with Nikola Milenkovic during the second half."
4331,Brazil,miss,Danilo,Brazil right-back Danilo will also miss the second Group G game with an ankle strain.
4332,Pele's all-time record tally,equal,The Paris Saint-Germain star,"Neymar, who is playing in The Paris Saint-Germain star's third and possibly last World Cup, needs just two goals to equal Pele's all-time record tally of 77 for The Paris Saint-Germain star."
4333,the France,download,france,"Download the France 24 app</Text></Article><Article url=""https://www.france24.com/en/europe/20221124-tributes-for-migrants-as-france-admits-it-should-have-prevented-channel-tragedy"" paper=""f24""><Text>AdvertisingRead moreSeveral boats packed with rescuers and local elected figures took to sea off the coast of Dunkirk on Thursday to mark the anniversary of the most deadly migrant accident in the Channel on record."
4334,French Interior Minister Gerald Darmanin,be,the France 3 TV channel,"""Everything that has been written is quite shocking,"" French Interior Minister Gerald Darmanin told the France 3 TV channel on Wednesday evening."
4335,Харьковской,области,Украины,"Воздушная тревога в Харьковской области Украины, объявленная рано утром в пятницу, была снята примерно через полчаса, согласно официальной карте воздушной тревоги страны."
4336,Харьковской,снята,Украины,"Воздушная тревога в Харьковской области Украины, объявленная рано утром в пятницу, была снята примерно через полчаса, согласно официальной карте воздушной тревоги страны."
4337,По,данным,Минэнерго,"По данным Минэнерго Украины, все три подконтрольные Киеву АЭС были отключены от электроснабжения."
4338,International Atomic Energy Agency,switch,International Atomic Energy Agency,"International Atomic Energy Agency (IAEA)'s expert team at the Zaporozhye Nuclear Power Plant informed International Atomic Energy Agency (IAEA) Director General Rafael Grossi that the Zaporozhye Nuclear Power Plant's emergency diesel generators, eight of which had been operating since the loss of off-site power on Wednesday, were switched off on Thursday morning."
4339,International Atomic Energy Agency,switch,International Atomic Energy Agency,"International Atomic Energy Agency (IAEA)'s expert team at the Zaporozhye Nuclear Power Plant informed International Atomic Energy Agency (IAEA) Director General Rafael Grossi that the Zaporozhye Nuclear Power Plant's emergency diesel generators, eight of which had been operating since the loss of off-site power on Wednesday, were switched off on Thursday morning."
4340,the Russian Defense Ministry,work,the Azerbaijani and Armenian sides,the Russian Defense Ministry said the command of the Russian peacekeeping force is working with the Azerbaijani and Armenian sides to ascertain the circumstances of one violation of the ceasefire by the Azerbaijani side.
4341,Ukrainian law enforcement agencies,execute,Freelance Advisor,"Ukrainian law enforcement agencies have executed at least 100 civilians in the city of Kherson, while about 200 others have gone missing, Freelance Advisor to the Kherson Regional Governor Alexander Malkevich told TASS on Thursday."
4342,31-year-old Health Department employee Kateryna Luchkina,resort,31-year-old Health Department employee Kateryna Luchkina's hands,"In a strange new wartime first for 31-year-old Health Department employee Kateryna Luchkina, 31-year-old Health Department employee Kateryna Luchkina resorted to collecting rainwater from a drainpipe, so 31-year-old Health Department employee Kateryna Luchkina could at least wash 31-year-old Health Department employee Kateryna Luchkina's hands at work, which had no water."
4343,31-year-old Health Department employee Kateryna Luchkina,wash,31-year-old Health Department employee Kateryna Luchkina's hands,"In a strange new wartime first for 31-year-old Health Department employee Kateryna Luchkina, 31-year-old Health Department employee Kateryna Luchkina resorted to collecting rainwater from a drainpipe, so 31-year-old Health Department employee Kateryna Luchkina could at least wash 31-year-old Health Department employee Kateryna Luchkina's hands at work, which had no water."
4344,A Ukrainian survivor,reunite,A Ukrainian survivor,"'Half [of] me is dead': A Ukrainian survivor of the Azovstal siege waits to reunite A Ukrainian survivor of the Azovstal siege's familyMindful of the hardships — both now and ahead, as winter progresses — authorities are opening thousands of so-called ""points of invincibility"" — heated and powered spaces offering hot meals, electricity and internet connections."
4345,Blue check mark chaosWhen tech giant Elon Musk,be,Twitter,"""Blue check mark chaosWhen tech giant Elon Musk took over Twitter's, one of tech giant Elon Musk's first orders of business was to change how Twitter's doles out verification."
4346,Morrow,log,Morrow,"But Morrow shared screenshots with As It Happens that appear to show official emails from Twitter's pertaining to one of his Twitter accounts @EliLillyandCo, including one notifying Morrow that Morrow had logged onto a new device, and another informing Morrow one of his Twitter accounts @EliLillyandCo had been suspended."
4347,@EliLillyandCo,account,Morrow's browser,"Morrow also shared screenshots of Morrow logged into one of his Twitter accounts @EliLillyandCo on Morrow's browser and receiving notifications from people liking, retweeting, or replying to 'insulin is free' tweet."
4348,U. S.  pharmaceutical giant Eli Lilly,have,U. S.  pharmaceutical giant Eli Lilly's CEO,"Not only did U. S.  pharmaceutical giant Eli Lilly have to tweet that insulin, in fact, is not free, but U. S.  pharmaceutical giant Eli Lilly's CEO David Ricks said 'insulin is free' tweet ""probably highlights that U. S.  pharmaceutical giant Eli Lilly have more work to do to bring down the cost of insulin for more people""."
4349,U. S.  pharmaceutical giant Eli Lilly,tweet,U. S.  pharmaceutical giant Eli Lilly's CEO,"Not only did U. S.  pharmaceutical giant Eli Lilly have to tweet that insulin, in fact, is not free, but U. S.  pharmaceutical giant Eli Lilly's CEO David Ricks said 'insulin is free' tweet ""probably highlights that U. S.  pharmaceutical giant Eli Lilly have more work to do to bring down the cost of insulin for more people""."
4350,Dr.  Jing Luo,be,Vox,"But Dr.  Jing Luo, who researches pharmaceutical pricing and policy, told Vox in 2017 that Dr.  Jing Luo, who researches pharmaceutical pricing and policy,'s skeptical of that explanation, noting that Dr.  Jing Luo, who researches pharmaceutical pricing and policy,'s come across many examples in Dr.  Jing Luo, who researches pharmaceutical pricing and policy,'s research of insulin products that have remained unchanged for years, and yet the prices have still risen at a higher rate than inflation."
4351,historian Ezequiel Adamovsky,be,AFP,"Read more. . . the country's true gaucho tradition celebrated in San Antonio de Areco a 19th century gaucho is also courageous, loyal and generous, making the gaucho ""a kind of rebel 'avenger' in the minds of the poor classes,"" historian Ezequiel Adamovsky of the country's CONICET scientific research council told AFP."
4352,Brazil,victory,Serbia,"In Thursday's late game meanwhile, two second half goals from Tottenham forward Richarlison – including a spectacular acrobatic scissor-kick – helped Brazil to victory over Serbia in Group G."
4353,captain and talisman Lionel Messi,feel,captain and talisman Lionel Messi'm,"""captain and talisman Lionel Messi feel very good physically, captain and talisman Lionel Messi'm in a great moment both personally and physically."
